crash_date,crash_level,crash_record,crash_address,crash_impaired,num_vehicles,acc_persons,pedestrians,latitude,longitude
5/19/2023 13:30,Injury,20230294015,Beech Av & Wedgewood Av,No Impaired Drivers,2 Vehicles,1 Person,No Pedestrians,36.1336,-86.7807
5/19/2023 13:51,Injury,20230294044,9th Avn & Jefferson St,No Impaired Drivers,2 Vehicles,8 Persons,No Pedestrians,36.173,-86.7924
5/19/2023 14:10,Property,20230294100,Nolensville Pke & Concord Rd,No Impaired Drivers,3 Vehicles,3 Persons,No Pedestrians,35.9969,-86.6899
5/19/2023 14:20,Injury,20230294096,0 Bell Rd,No Impaired Drivers,1 Vehicle,3 Persons,No Pedestrians,36.0855,-86.6282
5/19/2023 14:40,Injury,20230294169,Briley Pkwy & Arbor Creek Blvd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1362,-86.699
5/19/2023 14:45,Property,20230294120,Murfreesboro Pke & Arlington Av,No Impaired Drivers,3 Vehicles,6 Persons,No Pedestrians,36.1391,-86.733
5/19/2023 14:48,Injury,20230294264,Mcgavock Pke & Pennington Bend Rd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.216,-86.6893
5/19/2023 15:19,Property,20230294174,Dickerson Pke & Whites Creek Pke,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1886,-86.7732
5/19/2023 15:27,Property,20230294286,Bell Rd & Hickory Hollow Mall Pvtdr Pl,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.0493,-86.6515
5/19/2023 15:45,Injury,20230294221,Myatt Dr & Myatt Blvd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2819,-86.6919
5/19/2023 15:58,Property,20230294240,Mm 212 6 I 40,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1421,-86.7352
5/19/2023 16:01,Injury,20230294571,Vivelle Av & Nolensville Pke,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1269,-86.7531
5/19/2023 16:09,Property,20230294258,Charlotte Pke & Russleo Dr,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1397,-86.8798
5/19/2023 16:11,Injury,20230294261,Cleveland St & Dickerson Pke,No Impaired Drivers,3 Vehicles,3 Persons,No Pedestrians,36.1874,-86.7734
5/19/2023 16:22,Property,20230294300,Old Hickory Blvd & Broken Bow Dr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0143,-86.6792
5/19/2023 16:25,Property,20230294290,Freda Villa & S Graycroft Av,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.2465,-86.7355
5/19/2023 16:54,Property,20230294431,23rd Avn & Elliston Pl,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1498,-86.8053
5/19/2023 16:55,Injury,20230294333,Church St & 3rd Avn,No Impaired Drivers,1 Vehicle,0 Persons,1 Pedestrian,36.1643,-86.7776
5/19/2023 17:24,Injury,20230294414,Charlotte Av & 43rd Avn,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1523,-86.8386
5/19/2023 17:31,Injury,20230294764,W Trinity Ln & Lucas Ln,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2061,-86.7717
5/19/2023 17:40,Injury,20230294415,Cane Ridge Rd & Preston Rd,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.034,-86.6562
5/19/2023 17:50,Property,20230294416,Mm 214 5 I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1433,-86.7041
5/19/2023 17:55,Injury,20230294428,S 5th St & Fatherland St,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1692,-86.7632
